resource_type,resource_id,publication_role,authoring_source
Bundle,breast-cancer-synthetic-scenario,synthetic-example,generated-fsh
Bundle,cancer-care-plan-task-bundle-example,synthetic-example,generated-fsh
Bundle,qbc-submission-example,synthetic-example,generated-fsh
CapabilityStatement,BreastCancerCommunityCapabilityStatement,publication-definition,generated-fsh
CarePlan,cancer-care-plan-example,synthetic-example,generated-fsh
CodeSystem,breast-cancer-information-category,publication-definition,generated-fsh
CodeSystem,cm-case-entry-category,publication-definition,generated-fsh
CodeSystem,cm-case-status,publication-definition,generated-fsh
CodeSystem,cm-closure-reason,publication-definition,generated-fsh
CodeSystem,cm-curative-treatment-disposition,publication-definition,generated-fsh
CodeSystem,cm-registry-case-class,publication-definition,generated-fsh
CodeSystem,cm-retention-disposition,publication-definition,generated-fsh
CodeSystem,cm-task-input-type,publication-definition,generated-fsh
CodeSystem,cm-treatment-completion,publication-definition,generated-fsh
CodeSystem,qbc-field,publication-definition,generated-fsh
CodeSystem,qbc-workflow,publication-definition,generated-fsh
CodeSystem,tcr-breast-ajcc,publication-definition,manual-json
CodeSystem,tcr-breast-c,publication-definition,manual-json
CodeSystem,tcr-breast-class95,publication-definition,manual-json
CodeSystem,tcr-breast-classofdiag,publication-definition,manual-json
CodeSystem,tcr-breast-classoftreat,publication-definition,manual-json
CodeSystem,tcr-breast-confer,publication-definition,manual-json
CodeSystem,tcr-breast-ebrt,publication-definition,manual-json
CodeSystem,tcr-breast-h,publication-definition,manual-json
CodeSystem,tcr-breast-htar,publication-definition,manual-json
CodeSystem,tcr-breast-i,publication-definition,manual-json
CodeSystem,tcr-breast-kpsecog,publication-definition,manual-json
CodeSystem,tcr-breast-lat95,publication-definition,manual-json
CodeSystem,tcr-breast-ln-positi,publication-definition,manual-json
CodeSystem,tcr-breast-lnexam,publication-definition,manual-json
CodeSystem,tcr-breast-ltar,publication-definition,manual-json
CodeSystem,tcr-breast-lvi,publication-definition,manual-json
CodeSystem,tcr-breast-mcode5,publication-definition,manual-json
CodeSystem,tcr-breast-mins,publication-definition,manual-json
CodeSystem,tcr-breast-oth,publication-definition,manual-json
CodeSystem,tcr-breast-pni,publication-definition,manual-json
CodeSystem,tcr-breast-prec,publication-definition,manual-json
CodeSystem,tcr-breast-preh,publication-definition,manual-json
