artifact_id,element_id,path,slice_name,facets,cardinality,must_support,binding_strength,binding_value_set,type_constraints_json,fixed_pattern_fields,slicing_json,invariant_keys,constraint_sha256
breast-cancer-case-management-report,MeasureReport.type,MeasureReport.type,,must-support,,true,,,,,,,2128b3911cdbb56c2c16f67faba33f5a3e3b6be98eb93bb0e138eb81377655dd
breast-cancer-case-management-report,MeasureReport.measure,MeasureReport.measure,,must-support,,true,,,,,,,123d3ddc4c1ecce6322f0652f45d203dbd2bf70056feb82f01a876e8343ce417
breast-cancer-case-management-report,MeasureReport.reporter,MeasureReport.reporter,,must-support,,true,,,,,,,afbf6056bf0831fcd2f016b6849506ac838451f56970edb73a5b3dd1a2b3532f
breast-cancer-case-management-report,MeasureReport.period,MeasureReport.period,,must-support,,true,,,,,,,113afa7fc98350ceafea6e9d4969403826f7a815aaf797adf06b0ebcf40d4e8a
breast-cancer-case-management-report,MeasureReport.group,MeasureReport.group,,must-support,,true,,,,,,,8db22eee4b4a6e10e01a5696589c3138759ffa12fd0c8ff259557064cbdfbc07
breast-cancer-case-management-report,MeasureReport.group.population,MeasureReport.group.population,,must-support,,true,,,,,,,6dd74bdbbe84fceff46ae26a6b34fd6799b35ab7dbad3d50b84f1f609ba70601
breast-cancer-case-management-report,MeasureReport.group.measureScore,MeasureReport.group.measureScore,,must-support,,true,,,,,,,471ad8efc62821b5b8af7b63476d7dfb7d47f783d64c7ab010690e6db41f1fce
breast-cancer-case-management-report,MeasureReport.group.stratifier,MeasureReport.group.stratifier,,must-support,,true,,,,,,,27ccf0aed17edc53e05e2add7aa153719bc2207da0fa9051ec654d64527717c1
breast-cancer-case-management-task,Task.focus,Task.focus,,type,,false,,,"[{""code"":""Reference"",""targetProfile"":[""https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-primary-condition"",""https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-episode-of-care""]}]",,,,a6ca32a42d35431ea145855a0279a893701ead06b59c0ce006f0480046ec91f1
breast-cancer-case-management-task,Task.for,Task.for,,cardinality;type,1..,false,,,"[{""code"":""Reference"",""targetProfile"":[""https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-patient""]}]",,,,dfc0018bf782417fc3a3d5c85060ad9fa5e7864e7571073a3366ed0de577ed06
