cancer_group,source_field,source_code_system,source_value_set,source_code,source_display,target_system,target_version,target_code,relationship,review_status,reviewer,evidence_reference,decision_date,notes
breast,SEX,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-sex,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-sex-vs,1,男性。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,SEX,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-sex,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-sex-vs,2,女性。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,SEX,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-sex,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-sex-vs,3,其他，例如：雙性人(hermaphrodite)。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,SEX,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-sex,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-sex-vs,4,變性人。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,SEX,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-sex,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-sex-vs,9,不詳或在病歷上未記載。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,KPSECOG,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-kpsecog,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-kpsecog-vs,000,僅記載 ECOG PS 0（KPS 未評估）：活動性與生病之前無異，不受疾病影響。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,KPSECOG,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-kpsecog,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-kpsecog-vs,001,僅記載 ECOG PS 1（KPS 未評估）：無法做劇烈活動，但可以走動與從事輕鬆或坐著的工作。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,KPSECOG,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-kpsecog,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-kpsecog-vs,002,僅記載 ECOG PS 2（KPS 未評估）：可以走動，可以完全自我照顧，但無法工作。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,KPSECOG,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-kpsecog,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-kpsecog-vs,003,僅記載 ECOG PS 3（KPS 未評估）：自我照顧能力有限，一半以上的清醒時刻需臥床或坐輪椅。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,KPSECOG,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-kpsecog,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-kpsecog-vs,004,僅記載 ECOG PS 4（KPS 未評估）：處於完全失能狀態，生活完全無法自理。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
