tag,label,section,source_rule,clinical_reviewer,qbc_reviewer,decision,review_date,notes
HOSPID,醫事機構代碼,個案鍵值,醫事服務機構代號,,,pending,,
ID,個案身份證號,個案鍵值,文數字，國民身分證統一編號或外籍居留證號碼(如無居留證號碼請填護照號碼)，如為A123456789則輸入A123456789,,,pending,,
BIRTHDAY,個案出生年月日,個案鍵值,固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206,,,pending,,
DIAG_TYPE,收案類別,個案鍵值,1:新診斷個案-直接治癒性手術 2:新診斷個案-新輔助性治療法 3:首次復發個案,,,pending,,
LATERALITY,側性(患部),個案鍵值,填入代碼: L:左側 R:右側 上傳資料包含診斷病理或治療療程時必填。 若為雙側的病患，請將左右側拆分為2筆資料填寫。,,,pending,,
P01,個案姓名,基本資料,中文字採使用Big-5碼，至多為50個中文字,,,pending,,
P02,個案性別,基本資料,0：男性 1：女性 2：其他 (不符合傳統性別者，如雙性、跨性別) 3：未知,,,pending,,
P03,身高,基本資料,數字、長度整數至多3位數及小數至多2位數、範例150.3,,,pending,,
P04,體重,基本資料,數字、長度整數至多3位數及小數至多2位數、範例59.65,,,pending,,
P05,是否已停經,基本資料,※ 僅女性個案需要填寫。 1：是 2：否,,,pending,,
P06,停經年齡,基本資料,※ 僅限已停經的女性個案需要填寫。 填入數字範圍值:0-99 (實歲),,,pending,,
P07,主責醫師身份證字號,基本資料,文數字，國民身分證統一編號或外籍居留證號碼(如無居留證號碼請填護照號碼) 如為A123456789則輸入A123456789,,,pending,,
P08,個案分類,基本資料,1：本院診斷+治療 2：他院診斷、本院治療 3：復發個案,,,pending,,
P09,收案日期,基本資料,確定診斷及提供相關治療建議之(門診)日期 固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206,,,pending,,
D001,(新輔助) 最初診斷日期,新輔助－術前診斷,若收案類別「DIAG_TYPE」為「2」時必填 臨床或病理上診斷為癌症的開始日期 固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206,,,pending,,
D002,(新輔助) 最初診斷院所,新輔助－術前診斷,1：本院 2：他院,,,pending,,
D003,(新輔助) 組織學分類,新輔助－術前診斷,0：No cancer 1：Intraductal ca (DCIS) 2：Invasive cancer with no special type (IDC) 3：Invasive lobular ca (ILC) 4：Mucinous ca 5：Tubular ca 6：Invasive papillary ca 7：Metaplastic carcinoma 8：Others,,,pending,,
D004,(新輔助) 腫瘤組織分級,新輔助－術前診斷,※若(新輔助) 組織學分類「D003」為「0、1」，不需填寫。 X：無法評估等級(無法確定分級) 1：分化良好(低度惡性) 2：中度分化(中度惡性) 3：分化差(高度惡性),,,pending,,
D005,(新輔助) 臨床期別 T,新輔助－術前診斷,T0：No evidence of primary tumor Tis：(DCIS)*Ductal carcinoma in situ T1：腫瘤小於等於2公分 T2：腫瘤大於2公分，小於等於5公分 T3：腫瘤大於5公分 T4：腫瘤已侵犯至胸壁或是皮膚(潰瘍或結節)，發炎性乳癌 Tx：未知,,,pending,,
D006,(新輔助) 臨床期別 N,新輔助－術前診斷,N0：無區域淋巴結轉移（影像學或臨床檢查） N1mi：微小轉移(0.2-2mm) N1：轉移至同側可移動的 I、II 區腋窩淋巴結 N2：轉移至同側 I、II 區腋窩淋巴結，臨床表現為固定或 融合；或轉移至同側內乳淋巴結，但無腋窩淋巴結轉移 N3：轉移至同側鎖骨下（III 區腋窩）淋巴結，伴或不伴 I、II 區腋窩淋巴結受累；或轉移至同側內乳淋巴結， 伴隨 I、II 區腋窩淋巴結轉移；或同側鎖骨上淋巴結 轉移，伴隨或不伴隨腋窩或內乳淋巴結受累 Nx：未知,,,pending,,
D007,(新輔助) 臨床期別 M,新輔助－術前診斷,M0：遠端器官沒有癌細胞轉移 M1：遠端器官有癌細胞轉移，例如腦、肝、肺等 Mx：未知,,,pending,,
