tag,label,section,required_marker,always_required,source_format,max_length,data_type,allowed_values,multi_select,minimum,maximum,required_when,rule_ids,source_rule
HOSPID,醫事機構代碼,個案鍵值,＊,True,X(10）,10,string,,False,,,[],,醫事服務機構代號
ID,個案身份證號,個案鍵值,＊,True,X(10),10,string,,False,,,[],,文數字，國民身分證統一編號或外籍居留證號碼(如無居留證號碼請填護照號碼)，如為A123456789則輸入A123456789
BIRTHDAY,個案出生年月日,個案鍵值,＊,True,X(8),8,date,,False,,,[],,固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206
DIAG_TYPE,收案類別,個案鍵值,＊,True,X(1),1,code,"1,2,3",False,,,[],,1:新診斷個案-直接治癒性手術 2:新診斷個案-新輔助性治療法 3:首次復發個案
LATERALITY,側性(患部),個案鍵值,＊,True,X(1),1,code,"L,R",False,,,[],QBC-LATERALITY-REQUIRED,填入代碼: L:左側 R:右側 上傳資料包含診斷病理或治療療程時必填。 若為雙側的病患，請將左右側拆分為2筆資料填寫。
P01,個案姓名,基本資料,＊,True,X(50),50,string,,False,,,[],,中文字採使用Big-5碼，至多為50個中文字
P02,個案性別,基本資料,＊,True,X(1),1,code,"0,1,2,3",False,,,[],,0：男性 1：女性 2：其他 (不符合傳統性別者，如雙性、跨性別) 3：未知
P03,身高,基本資料,＊,True,X(5),5,decimal,,False,,,[],,數字、長度整數至多3位數及小數至多2位數、範例150.3
P04,體重,基本資料,＊,True,X(5),5,decimal,,False,,,[],,數字、長度整數至多3位數及小數至多2位數、範例59.65
P05,是否已停經,基本資料,△,False,X(1),1,code,"1,2",False,,,[],QBC-P05-FEMALE,※ 僅女性個案需要填寫。 1：是 2：否
P06,停經年齡,基本資料,△,False,X(2),2,integer,,False,0,99,[],QBC-P06-MENOPAUSE,※ 僅限已停經的女性個案需要填寫。 填入數字範圍值:0-99 (實歲)
P07,主責醫師身份證字號,基本資料,＊,True,X(10),10,string,,False,,,[],,文數字，國民身分證統一編號或外籍居留證號碼(如無居留證號碼請填護照號碼) 如為A123456789則輸入A123456789
P08,個案分類,基本資料,＊,True,X(1),1,code,"1,2,3",False,,,[],,1：本院診斷+治療 2：他院診斷、本院治療 3：復發個案
P09,收案日期,基本資料,＊,True,X(8),8,date,,False,,,[],,確定診斷及提供相關治療建議之(門診)日期 固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206
